"filename", "language", "JSON", "JSON with Comments", "XML", "SCSS", "CSS", "HTML", "TypeScript", "Vue", "comment", "blank", "total"
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 90, 0, 1, 91
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car-rental-company/car-rental-company.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 117, 0, 2, 119
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 62, 0, 2, 64
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 107, 0, 0, 14, 121
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 162, 0, 1, 163
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/car/car.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 110, 0, 2, 112
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 78, 0, 2, 80
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 150, 0, 0, 20, 170
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 211, 0, 1, 212
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/flight/flight.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 127, 0, 2, 129
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-company/hotel-company-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-company/hotel-company-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 39, 0, 2, 41
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-company/hotel-company-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 86, 0, 0, 11, 97
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-company/hotel-company-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 90, 0, 1, 91
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-company/hotel-company.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 63, 0, 0, 14, 77
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-company/hotel-company.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 77, 0, 0, 9, 86
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-company/hotel-company.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 106, 0, 2, 108
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-room/hotel-room-details.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 6, 31
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-room/hotel-room-details.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 67, 0, 2, 69
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-room/hotel-room-update.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 107, 0, 0, 14, 121
"/Users/toacy/AgileKipRepos/akip-travel-example/travelTutorialCOMPLETE/src/main/webapp/app/entities/hotel-room/hotel-room-update.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 178, 0, 1, 179
